Motivation_Description,Intent1
I wanted to start running and needed a way to carry my phone. Also they were cute.,3
I had lost some weight and needed new pants to fit into. This was the most cost efficient way of receiving high quality athletic leggings that I knew I would wear very often and could use for many different activities. ,3
"I really like the movie it portrays, I like wearing casual t-shirts because I'm a casual type of person and this shirt reflects it ",2
My mom was going to get rid of it and I thought it would fit well with my current wardrobe and style,3
I got this item because it looked warm and soft. I go for comfort most of the time.,4
"I wanted a new shirt to celebrate the coming of spring, however not having a job right now I cannot afford a lot so I got only a shirt on the sale rack, it was $10. ",5
"I like the style of shoe/sandal. They're comfortable, minimal, and easy to take anywhere. They were also free.",2
Needed it for the team jersey. ,2
"I recently grew out of my pants because I had not bought pants in a few years, so i bought new ones",2
Because it didn't fit my friend but it fit me.,4
"It is kind of a funny story, my softball coach said the best way to deal with sadness( losing our season due to COVID-19) is retail therapy (she was kind of kidding). So when I got home I decided I was going to buy new, cute clothes for summer in order to feel better. I bought the blouse in order to dress cute during summer and as a fitness goal I suppose.",4
I purchased a new pair of pants to have more options to wear throughout the week.,3
It was for a friends sorority formal. I don't have formal wear and am taller than all my friends so I couldn't borrow anything. ,3
"My roommate wanted to go shopping and I happened to find this skirt that I liked, it wasn't very expensive so I bought it.",5
I got the shoes because I thought they were very cool and they fit my style. I got them to reward myself for having a great academic term. They made me feel cool and in style.,4
I got it because I liked it and because it was my style. I didn't expect others to get it or to like it. It was just for me. ,4
I bought it because it is famous in Iceland.,3
"I thought the shoes were really cute. Nike airforce ones are really popular. But I thought getting them with a color (pink, my favorite) they'd be a little more unique and fit me. ",4
I got the clothing item because I thought it was cute and would be trendy to wear during spring.,4
"I got it because I had been in search of a grey crewneck sweatshirt for months and I wanted to buy it from an ethical company. I also had no time, or car, to go to a store so online shopping gave me more options.",2
"It was an impulse buy, I did not really need it but I got it anyways. I did not have a black hoodie so I wanted one. ",4
I got the clothing item because I though it was cute and a lot of my other sweatshirts had stains on them or were worn out. ,5
"My mother got it for me since she knows that Eugene is a cold place and a winter jacket would help during next school year. She got me a jacket previously but it just didn't fit right so we returned it and this was the replacement. By the way, we come from California where it is much warmer. ",4
I thought it would look good on me ,1
I got it because I thought it was cute and it would motivate me to get better in shape,2
"I don't have a lot of green clothes, so when I saw this pullover from a brand I lik and with a fit I like I bought it.",5
I needed new pants because I had grown out of two other pairs and ripped another pair (funny story). I guess I didn't really need them but I wanted them,4
I got it because i needed a longsleeve top,4
I wanted something comfortable to sleep in.,3
"I thought it looked nice on foreign celebrities and I wanted to copy their style. I felt like I can add my own twist on the jacket and change certain parts of it as well. In all, I thought wearing it would be different from what my friends would wear but still similar enough to not be looked at weirdly.",4
It was on the sale rack at Zumiez so it was cheap. Also it's an XL and I wanted a baggier tshirt cause I didn't really have any beforehand.,5
"I got it because I really liked how it looked on me and didn't have many sweaters that I felt comfortable in both mentally and physically. It was in a really pretty color. I also got it because it can also be considered business casual, which was good because I was shadowing physician assistants at the time and needed business casual items because I did not have any.",3
"I just wanted it if I am being honest. I just got it today actually but haven't had a chance to wear it yet due to the COVID-19 virus, but I still just decided to buy it for when I go out when the quarantine is over. So, in short, I mostly just buy clothes because I like them or want them. I thought the fur coat was cute and have been wanting one for awhile now. ",5
I needed a new sweatshirt as it was getting colder and I had a gift card to Dick's.,3
"I got the clothing item because of the brand, it is high quality, and because I loved the style and didn't own anything like it.",3
I won a bet against my boyfriend and my reward was him buying this sweater for me. ,5
I got the clothing idea because I thought it was cute. It was also quite cheap and summertime is coming so I wanted a skirt to wear on warm days.  ,2
I needed a winter jacket and so I could stay warm.,4
"I needed some boot cut jeans that I could wear for occasions where I didn't want stained ones. I am also pretty skinny, so finding pants that fit me decently and also go over boots can be difficult. I tried these ones on and they fit very well.",4
I got it because I like the fit of the pants generally and they're kind of hideous and beautiful at the same time and very similar to my personality of making a fool of myself,4
"I was going out with my friends and I did not have many cute, going out clothes. ",2
"I wanted a jean jacket that I could layer over dresses and jumpsuits. Its good for springtime and summer when its warm, but can still get chilly.",4
"I got the socks because I love yellow, fun socks, and I feel they match my bubbly personality.",2
It was very cute and I decided to try it on. Once I did I felt very confident in it.,4
i saw it advertised in a netflix show. i liked the netflix show and also the style of the hoodie. so i found a good price on amazon and bought it.,2
It was free,3
